,time,user_followers,Polarity,Subjectivity,BERT_SCORE,Vader_Comp,Vader_Pos,Vader_Neg,Vader_Neu,W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,W_BERT_Label,high,low,open,volumefrom,volumeto,close,Change,Change_Pct,Change_Cat
0,2021-02-05,146921,2.008106061,14.0375,35.87268218,3.8171,2.863,1.54,38.597,10307.586,2982.656,133622.676,19760.6384,128211.6976,2143.072197,31045.54417,-3206,38343.92,36626.5,36983.42,45243.69,1705038314,38310.24,956.77,2.497426276,1
1,2021-02-06,210514,4.705717893,17.33109668,55.5184443,7.8679,4.41,1.455,59.134,5106.29,3948.774,201458.578,150.7883,159904.8821,25444.29286,42288.09991,4061,40989.11,38247.96,38310.24,66494.6,2642530408,39267.01,-398.19,-1.014057347,-1
2,2021-02-07,346520,14.72219577,27.60487383,65.80668655,14.4423,7.241,2.438,68.323,35406.059,5162.42,305968.568,94897.3895,295290.0301,26363.0519,61640.49802,-13589,39721.59,37408.16,39267.01,53823.4,2076904734,38868.82,7568.59,19.47213731,1
3,2021-02-08,719772,13.77463203,39.22108766,123.6008623,24.5663,11.908,3.451,130.639,42371.275,6807.141,670585.586,100617.7717,603114.9658,67824.20751,132948.3479,98831,46606.82,38063.87,38868.82,138485.21,5944522160,46437.41,72.16,0.1553919566,1
4,2021-02-09,299897,6.034393939,20.41409091,84.34490815,11.3195,6.985,3.225,90.791,11847.518,9336.972,278713.151,11168.735,251998.6143,1978.152146,44217.86641,27476,48209.59,45051.46,46437.41,98670.48,4610214635,46509.57,-1654.62,-3.557590406,-1
5,2021-02-10,316245,5.854731842,22.23893699,78.67939749,13.0192,6.465,1.793,81.742,36381.924,2645.194,277218.233,98666.6604,269509.8361,25044.37924,61377.73183,105718,47349.86,43743.99,46509.57,72992.8,3326890835,44854.95,3151.23,7.02537847,1
6,2021-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48664.81,44032.66,44854.95,72251.82,3377367972,48006.18,-570.64,-1.188680291,-1
7,2021-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48930.99,46243.85,48006.18,59549.61,2831634660,47435.54,-213.22,-0.4494941978,-1
8,2021-02-13,1250967,8.868686869,17.58737374,58.34984273,8.7411,4.035,0.844,60.121,58699.783,923.881,1191343.336,148574.2655,1038177.853,184765.0783,307921.7172,-636373,48171.46,46291.19,47435.54,33281.25,1571324550,47222.32,1430.55,3.029393727,1
9,2021-02-14,561557,18.09959632,41.09301551,88.51854774,30.6039,11.273,1.652,91.073,45909.865,65558.544,450067.42,-109478.8336,412751.356,-170263.302,260520.0669,-328683,49642.39,47096.92,47222.32,37853.59,1841963034,48652.87,-716.36,-1.472390015,-1
10,2021-02-15,182917,24.86969697,46.53073593,89.92373621,41.9402,14.692,1.553,87.754,19840.887,2069.716,161006.28,52112.6788,164621.6368,23900.10568,52766.70406,-266,49031.74,45910,48652.87,52683.57,2502097939,47936.51,1248.12,2.603693928,1
11,2021-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50561.53,47068.63,47936.51,66072.59,3237085086,49184.63,2970.28,6.039041058,1
12,2021-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52622.68,48967.72,49184.63,67133.49,3423930178,52154.91,-563.3,-1.080051715,-1
13,2021-02-18,560364,6.615010823,14.26864719,48.72858968,7.8596,4.191,1.434,51.375,36990.358,2541.856,520831.786,92711.8633,501134.0096,40453.80463,64045.33711,17734,52550.6,50874.81,52154.91,42530.26,2205232620,51591.61,4341.86,8.415825752,1
14,2021-02-19,1331409,7.233271104,28.49169733,95.75683102,12.429,8.448,3.139,99.411,124803.388,8310.323,1198282.303,137070.4157,1131625.829,36700.54842,169768.0563,130034,56331.09,50766.83,51591.61,72433.44,3893034057,55933.47,-32.63,-0.05833716378,-1
15,2021-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57528.16,54140.61,55933.47,52924.57,2974872570,55900.84,1569.11,2.806952454,1
16,2021-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58348.75,55516.07,55900.84,33823.01,1934005633,57469.95,-3348.78,-5.827010464,-1
17,2021-02-22,760605,4.729772727,21.70886364,83.37019515,12.4723,7.108,2.636,86.257,141988.91,8158.907,610458.736,312478.2823,699275.1159,-1613.083384,31581.41861,-26123,57540.74,48194.31,57469.95,130806.33,6995162441,54121.17,-5222.47,-9.649588137,-1
18,2021-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54164.35,44983.39,54121.17,165758.08,8016450648,48898.7,839.47,1.716753206,1
19,2021-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51399.55,47015.55,48898.7,74972.28,3729774705,49738.17,-2655.3,-5.338555882,-1
20,2021-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52086.34,46728.88,49738.17,73102.42,3643008749,47082.87,-758.37,-1.610713196,-1
21,2021-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48438.38,44153.46,47082.87,90519.05,4204800172,46324.5,-133.11,-0.2873425509,-1
22,2021-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48362.8,45063.84,46324.5,39013.78,1831237567,46191.39,-930.36,-2.014141597,-1
23,2021-02-28,293880,1.633333333,6.558333333,27.00751528,3.9314,1.894,0.668,28.438,10129.436,971.48,282779.084,25127.416,272465.0858,10906.28333,29191.50833,1119,46645.9,43061.92,46191.39,62249.5,2776726256,45261.03,4374.04,9.664031066,1
24,2021-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49812.2,45058.98,45261.03,65660.6,3146266420,49635.07,-1133.86,-2.28439287,-1
25,2021-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50221.14,47097.84,49635.07,43281.84,2105387915,48501.21,1891.34,3.899572815,1
26,2021-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52625.39,48176.64,48501.21,51572.27,2615513553,50392.55,-2028.81,-4.026011782,-1
27,2021-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51792.65,47516.91,50392.55,61387.71,3024053726,48363.74,411.63,0.8511128378,1
28,2021-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49467.19,46311.43,48363.74,60955.82,2907395735,48775.37,117.43,0.240756759,1
29,2021-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49185.32,47099.07,48775.37,25116.42,1214194644,48892.8,2071.38,4.23657471,1
30,2021-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51455.54,48892.8,48892.8,32958.26,1658558075,50964.18,1440.84,2.827162136,1
31,2021-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52408.08,49341.09,50964.18,48084.28,2445827950,52405.02,2523.68,4.815721853,1
32,2021-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54933.93,51888.98,52405.02,53740.22,2898199576,54928.7,964.61,1.756112925,1
33,2021-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57396.59,53054.34,54928.7,70138.56,3898251701,55893.31,1916.1,3.428138359,1
34,2021-03-11,20319,0.1613636364,0.9045454545,4.182271779,0.6572,0.193,0.051,4.755,1332.992,612.714,18361.28,4541.9208,16671.46946,393.6227273,1910.009091,861,58142.77,54314.65,55893.31,59202.98,3340389094,57809.41,-553.19,-0.9569203353,-1
35,2021-03-12,520943,10.28748918,24.10755421,74.90297705,10.1634,6.284,2.617,80.101,39573.826,25913.231,455473.961,13366.0665,428538.6302,54366.68323,132522.4222,69214,58069.58,55089.68,57809.41,54282.31,3079097934,57256.22,3923.57,6.852652865,1
36,2021-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61749.15,56103.32,57256.22,57862.75,3439594035,61179.79,-2180.9,-3.564739271,-1
37,2021-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61674.66,58980.95,61179.79,34886.85,2105197604,58998.89,-3333.88,-5.650750379,-1
38,2021-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60589.17,54857.68,58998.89,75161.15,4297382089,55665.01,1260,2.263540418,1
39,2021-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56936.04,53269.13,55665.01,62540.93,3441195999,56925.01,1983.99,3.48526948,1
40,2021-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58975.28,54156.11,56925.01,62035.71,3493543493,58909,-1265.68,-2.14853418,-1
41,2021-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60077.79,57022.2,58909,54289.71,3178687259,57643.32,416.89,0.7232234368,1
42,2021-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59453.32,56283.37,57643.32,41182.41,2397999967,58060.21,41.13,0.07084025359,1
43,2021-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59911.7,57837.79,58060.21,28696.46,1687922805,58101.34,-726.39,-1.250212129,-1
44,2021-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58621.34,55635.61,58101.34,34236.52,1958214099,57374.95,-3279.59,-5.716065983,-1
